2026-03-12 13:41:32.006 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-12 13:41:32.144 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ManagementApplication for test class com.example.management.ManagementApplicationTests
2026-03-12 13:41:32.839 [main] INFO  com.example.management.ManagementApplicationTests - Starting ManagementApplicationTests using Java 22.0.1 with PID 20588 (started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 13:41:32.841 [main] INFO  com.example.management.ManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-03-12 13:41:34.508 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 13:41:35.001 [main] INFO  com.example.management.ManagementApplicationTests - Started ManagementApplicationTests in 2.63 seconds (process running for 4.73)
2026-03-12 13:47:06.358 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-12 13:47:06.493 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ManagementApplication for test class com.example.management.ManagementApplicationTests
2026-03-12 13:47:07.167 [main] INFO  com.example.management.ManagementApplicationTests - Starting ManagementApplicationTests using Java 22.0.1 with PID 16060 (started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 13:47:07.168 [main] INFO  com.example.management.ManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-03-12 13:47:08.787 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 13:47:09.232 [main] INFO  com.example.management.ManagementApplicationTests - Started ManagementApplicationTests in 2.514 seconds (process running for 4.582)
2026-03-12 13:48:07.946 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-12 13:48:08.098 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ManagementApplication for test class com.example.management.ManagementApplicationTests
2026-03-12 13:48:08.798 [main] INFO  com.example.management.ManagementApplicationTests - Starting ManagementApplicationTests using Java 22.0.1 with PID 8080 (started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 13:48:08.798 [main] INFO  com.example.management.ManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-03-12 13:48:10.450 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 13:48:10.928 [main] INFO  com.example.management.ManagementApplicationTests - Started ManagementApplicationTests in 2.591 seconds (process running for 4.83)
2026-03-12 13:48:59.673 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-12 13:48:59.817 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ManagementApplication for test class com.example.management.ManagementApplicationTests
2026-03-12 13:49:00.529 [main] INFO  com.example.management.ManagementApplicationTests - Starting ManagementApplicationTests using Java 22.0.1 with PID 23996 (started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 13:49:00.529 [main] INFO  com.example.management.ManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-03-12 13:49:02.256 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 13:49:02.759 [main] INFO  com.example.management.ManagementApplicationTests - Started ManagementApplicationTests in 2.691 seconds (process running for 4.794)
2026-03-12 13:49:58.378 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-12 13:49:58.514 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ManagementApplication for test class com.example.management.ManagementApplicationTests
2026-03-12 13:49:59.213 [main] INFO  com.example.management.ManagementApplicationTests - Starting ManagementApplicationTests using Java 22.0.1 with PID 24248 (started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 13:49:59.214 [main] INFO  com.example.management.ManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-03-12 13:50:00.882 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 13:50:01.358 [main] INFO  com.example.management.ManagementApplicationTests - Started ManagementApplicationTests in 2.613 seconds (process running for 4.701)
2026-03-12 13:50:08.413 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-12 13:50:08.554 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ManagementApplication for test class com.example.management.ManagementApplicationTests
2026-03-12 13:50:09.244 [main] INFO  com.example.management.ManagementApplicationTests - Starting ManagementApplicationTests using Java 22.0.1 with PID 3672 (started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 13:50:09.244 [main] INFO  com.example.management.ManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-03-12 13:50:10.877 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 13:50:11.386 [main] INFO  com.example.management.ManagementApplicationTests - Started ManagementApplicationTests in 2.606 seconds (process running for 4.79)
2026-03-12 13:50:39.198 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-12 13:50:39.358 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ManagementApplication for test class com.example.management.ManagementApplicationTests
2026-03-12 13:50:40.168 [main] INFO  com.example.management.ManagementApplicationTests - Starting ManagementApplicationTests using Java 22.0.1 with PID 26468 (started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 13:50:40.169 [main] INFO  com.example.management.ManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-03-12 13:50:42.294 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 13:50:43.055 [main] INFO  com.example.management.ManagementApplicationTests - Started ManagementApplicationTests in 3.443 seconds (process running for 5.687)
2026-03-12 13:50:53.195 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-12 13:50:53.341 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ManagementApplication for test class com.example.management.ManagementApplicationTests
2026-03-12 13:50:54.046 [main] INFO  com.example.management.ManagementApplicationTests - Starting ManagementApplicationTests using Java 22.0.1 with PID 3184 (started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 13:50:54.047 [main] INFO  com.example.management.ManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-03-12 13:50:56.253 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 13:50:56.759 [main] INFO  com.example.management.ManagementApplicationTests - Started ManagementApplicationTests in 3.178 seconds (process running for 5.423)
2026-03-12 13:51:13.957 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-03-12 13:51:14.102 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.ManagementApplication for test class com.example.management.ManagementApplicationTests
2026-03-12 13:51:14.850 [main] INFO  com.example.management.ManagementApplicationTests - Starting ManagementApplicationTests using Java 22.0.1 with PID 20200 (started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 13:51:14.852 [main] INFO  com.example.management.ManagementApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-03-12 13:51:16.650 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 13:51:17.193 [main] INFO  com.example.management.ManagementApplicationTests - Started ManagementApplicationTests in 2.831 seconds (process running for 5.28)
2026-03-12 15:44:58.618 [main] INFO  com.example.ManagementApplication - Starting ManagementApplication using Java 22.0.1 with PID 22704 (E:\java\java0\Management\target\classes\production\Management started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 15:44:58.623 [main] INFO  com.example.ManagementApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-12 15:45:00.157 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
